NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
CITY OF RICHMOND - (IN),,,,,
CITY OF RIPLEY - (TN),,,,,
CITY OF RISING SUN - (IN),,,,,
CITY OF RIVER FALLS,,,,,
CITY OF RIVERDALE - (ND),,,,,
CITY OF RIVERSIDE - (CA),,,,,
CITY OF ROBERSONVILLE - (NC),,,,,
CITY OF ROBERTSDALE,,,,,
CITY OF ROBINSON - (KS),,,,,
CITY OF ROBSTOWN - (TX),,,,,
CITY OF ROCK FALLS - (IL),,,,,
CITY OF ROCK HILL - (SC),,,,,
CITY OF ROCKFORD- (IA),,,,,
CITY OF ROCKPORT - (MO),,,,,
CITY OF ROCKWOOD - (TN),,,,,
CITY OF ROCKY MOUNT - (NC),,,,,
CITY OF ROLLA - (MO),,,,,
CITY OF ROODHOUSE - (IL),,,,,
CITY OF ROSEAU - (MN),,,,,
CITY OF ROSEVILLE - (CA),,,,,
CITY OF ROUND LAKE - (MN),,,,,
CITY OF RUPERT - (ID),,,,,
CITY OF RUSHFORD - (MN),,,,,
CITY OF RUSHMORE - (MN),,,,,
CITY OF RUSSELL - (KS),,,,,
CITY OF RUSSELL - (MA),,,,,
CITY OF RUSSELLVILLE - (AL),,,,,
CITY OF RUSSELLVILLE - (KY),,,,,
CITY OF RUSTON - (LA),,,,,
CITY OF SABETHA - (KS),,,,,
CITY OF SABULA - (IA),,,,,
CITY OF SAFFORD - (AZ),,,,,
CITY OF SAINT PAUL,,,,,
CITY OF SAINT PETER,,,,,
CITY OF SALAMANCA - (NY),,,,,
CITY OF SALEM - (MO),,,,,
CITY OF SALEM - (VA),,,,,
CITY OF SALISBURY - (MO),,,,,
CITY OF SALLISAW - (OK),,,,,
CITY OF SAN ANTONIO - (TX),,,,,
CITY OF SAN AUGUSTINE - (TX),,,,,
CITY OF SAN MARCOS - (TX),,,,,
CITY OF SAN SABA - (TX),,,,,
CITY OF SANBORN - (IA),,,,,
CITY OF SANDERSVILLE - (GA),,,,,
CITY OF SANGER - (TX),,,,,
CITY OF SANTA CLARA - (CA),,,,,
CITY OF SANTA CLARA - (UT),,,,,
CITY OF SARGENT - (NE),,,,,
CITY OF SAUK CENTRE - (MN),,,,,
CITY OF SAVONBURG - (KS),,,,,
CITY OF SCHULENBURG - (TX),,,,,
CITY OF SCHUYLER - (NE),,,,,
CITY OF SCOTTSBORO,,,,,
CITY OF SCOTTSBURG - (IN),,,,,
CITY OF SCRANTON - (KS),,,,,
CITY OF SCRIBNER - (NE),,,,,
CITY OF SEAFORD- (DE),,,,,
CITY OF SEATTLE - (WA),,,,,
CITY OF SEGUIN - (TX),,,,,
CITY OF SENECA - (KS),,,,,
CITY OF SENECA - (SC),,,,,
CITY OF SERGEANT BLUFF - (IA),,,,,
CITY OF SEWARD - (AK),,,,,
CITY OF SEWARD - (NE),,,,,
CITY OF SEYMOUR - (MO),,,,,
CITY OF SEYMOUR - (TX),,,,,
CITY OF SHARON- (ND),,,,,
CITY OF SHARON SPRINGS - (KS),,,,,
CITY OF SHASTA LAKE - (CA),,,,,
CITY OF SHEBOYGAN FALLS - (WI),,,,,
CITY OF SHELBINA - (MO),,,,,
CITY OF SHELBY - (IA),,,,,
CITY OF SHELBY - (NC),,,,,
CITY OF SHELBY - (OH),,,,,
CITY OF SHELBYVILLE - (TN),,,,,
CITY OF SHELLY - (MN),,,,,
CITY OF SHERRILL - (NY),,,,,
CITY OF SHINER - (TX),,,,,
CITY OF SHULLSBURG - (WI),,,,,
CITY OF SIBLEY - (IA),,,,,
CITY OF SIDNEY - (NE),,,,,
CITY OF SIKESTON - (MO),,,,,
CITY OF SILOAM SPRINGS - (AR),,,,,
CITY OF SIOUX CENTER,,,,,
CITY OF SIOUX FALLS - (SD),,,,,
CITY OF SKIATOOK - (OK),,,,,
CITY OF SLATER - (MO),,,,,
CITY OF SMITHVILLE - (TN),,,,,
CITY OF SMITHVILLE - (TX),,,,,
CITY OF SNYDER - (NE),,,,,
CITY OF SODA SPRINGS - (ID),,,,,
CITY OF SOUTH HAVEN - (MI),,,,,
CITY OF SOUTH NORWALK - (CT),,,,,
CITY OF SOUTH SIOUX CITY,,,,,
CITY OF SOUTHPORT - (NC),,,,,
CITY OF SPARTA,,,,,
CITY OF SPENCER - (IA),,,,,
CITY OF SPENCER - (NE),,,,,
CITY OF SPOONER - (WI),,,,,
CITY OF SPRING GROVE,,,,,
CITY OF SPRINGFIELD - (CO),,,,,
CITY OF SPRINGFIELD - (IL),,,,,
CITY OF SPRINGFIELD - (OR),,,,,
CITY OF SPRINGFIELD - (TN),,,,,
CITY OF SPRINGVILLE - (UT),,,,,
CITY OF ST CHARLES - (IL),,,,,
CITY OF ST CHARLES - (MN),,,,,
CITY OF ST CLAIRSVILLE - (OH),,,,,
CITY OF ST FRANCIS - (KS),,,,,
CITY OF ST GEORGE,,,,,
CITY OF ST JAMES - (MN),,,,,
CITY OF ST JAMES - (MO),,,,,
CITY OF ST LOUIS - (MI),,,,,
CITY OF ST MARTINVILLE - (LA),,,,,
CITY OF ST MARYS - (KS),,,,,
CITY OF ST MARYS - (OH),,,,,
CITY OF ST PAUL - (NE),,,,,
CITY OF ST ROBERT - (MO),,,,,
CITY OF ST. JOHN - (KS),,,,,
CITY OF STAFFORD - (KS),,,,,
CITY OF STANBERRY - (MO),,,,,
CITY OF STANHOPE - (IA),,,,,
CITY OF STANTON - (IA),,,,,
CITY OF STANTON - (ND),,,,,
CITY OF STAPLES- (MN),,,,,
CITY OF STARKE - (FL),,,,,
CITY OF STARKVILLE,,,,,
CITY OF STATE CENTER - (IA),,,,,
CITY OF STATESVILLE - (NC),,,,,
CITY OF STEELVILLE,,,,,
CITY OF STEPHEN - (MN),,,,,
CITY OF STEPHENSON - (MI),,,,,
CITY OF STERLING - (KS),,,,,
CITY OF STILWELL - (OK),,,,,
CITY OF STOCKTON - (KS),,,,,
CITY OF STORY CITY - (IA),,,,,
CITY OF STOUGHTON - (WI),,,,,
CITY OF STRATFORD - (IA),,,,,
CITY OF STRATTON - (NE),,,,,
CITY OF STRAWBERRY POINT,,,,,
CITY OF STROMSBURG - (NE),,,,,
CITY OF STROUD - (OK),,,,,
CITY OF STUART - (IA),,,,,
CITY OF STUART - (NE),,,,,
CITY OF STURGEON BAY - (WI),,,,,
CITY OF STURGIS,,,,,
CITY OF SULLIVAN - (IL),,,,,
CITY OF SULLIVAN - (MO),,,,,
CITY OF SUMAS - (WA),,,,,
CITY OF SUMMERFIELD - (KS),,,,,
CITY OF SUMNER - (IA),,,,,
CITY OF SUPERIOR - (NE),,,,,
CITY OF SUTTON - (NE),,,,,
CITY OF SWEETWATER,,,,,
CITY OF SYLVANIA - (GA),,,,,
CITY OF SYLVESTER - (GA),,,,,
CITY OF SYRACUSE - (NE),,,,,
CITY OF TACOMA - (WA),,,,,
CITY OF TALLAHASSEE - (FL),,,,,
CITY OF TARRANT,,,,,
CITY OF TAUNTON,,,,,
CITY OF TECUMSEH,,,,,
CITY OF TELL CITY - (IN),,,,,
CITY OF TENAKEE SPRINGS - (AK),,,,,
CITY OF THAYER - (MO),,,,,
CITY OF THIEF RIVER FALLS,,,,,
CITY OF THOMASTON - (GA),,,,,
CITY OF THOMASVILLE - (GA),,,,,
CITY OF THORNTOWN - (IN),,,,,
CITY OF TIMPSON - (TX),,,,,
CITY OF TIPP CITY - (OH),,,,,
CITY OF TIPTON - (IA),,,,,
CITY OF TONKAWA - (OK),,,,,
CITY OF TORONTO - (KS),,,,,
CITY OF TORRINGTON - (WY),,,,,
CITY OF TRAER - (IA),,,,,
CITY OF TRAVERSE CITY - (MI),,,,,
CITY OF TRENTON - (NE),,,,,
CITY OF TRENTON - (TN),,,,,
CITY OF TRINIDAD - (CO),,,,,
CITY OF TROY - (AL),,,,,
CITY OF TROY - (IN),,,,,
CITY OF TROY - (KS),,,,,
CITY OF TROY - (MT),,,,,
CITY OF TRUTH OR CONSEQUENCES - (NM),,,,,
CITY OF TULIA,,,,,
CITY OF TUPELO - (MS),,,,,
CITY OF TUSCUMBIA,,,,,
CITY OF TUSKEGEE,,,,,
CITY OF TWO HARBORS- (MN),,,,,
CITY OF TYLER - (MN),,,,,
CITY OF TYNDALL - (SD),,,,,
CITY OF UDALL - (KS),,,,,
CITY OF UKIAH - (CA),,,,,
CITY OF UNALASKA - (AK),,,,,
CITY OF UNION - (SC),,,,,
CITY OF UNION CITY,,,,,
CITY OF UNIONVILLE - (MO),,,,,
CITY OF VALENTINE - (NE),,,,,
CITY OF VALLEY CITY,,,,,
CITY OF VANCEBURG,,,,,
CITY OF VANDALIA - (MO),,,,,
CITY OF VERMILLION - (KS),,,,,
CITY OF VERMILLION - (SD),,,,,
CITY OF VERNON,,,,,
CITY OF VICTORVILLE - (CA),,,,,
CITY OF VILLISCA - (IA),,,,,
CITY OF VINELAND - (NJ),,,,,
CITY OF VINTON - (IA),,,,,
CITY OF VIRGINIA - (MN),,,,,
CITY OF VOLGA - (SD),,,,,
CITY OF WADENA - (MN),,,,,
CITY OF WADSWORTH - (OH),,,,,
CITY OF WAELDER - (TX),,,,,
CITY OF WAHOO - (NE),,,,,
CITY OF WAKEFIELD - (MI),,,,,
CITY OF WAKEFIELD - (NE),,,,,
CITY OF WALL LAKE - (IA),,,,,
CITY OF WAMEGO - (KS),,,,,
CITY OF WAPAKONETA - (OH),,,,,
CITY OF WARREN - (MN),,,,,
CITY OF WARROAD,,,,,
CITY OF WASECA - (MN),,,,,
CITY OF WASHINGTON - (GA),,,,,
CITY OF WASHINGTON - (IN),,,,,
CITY OF WASHINGTON - (KS),,,,,
CITY OF WASHINGTON - (NC),,,,,
CITY OF WASHINGTON - (UT),,,,,
CITY OF WATER VALLEY - (MS),,,,,
CITY OF WATERLOO - (IL),,,,,
CITY OF WATERVILLE - (KS),,,,,
CITY OF WATHENA - (KS),,,,,
CITY OF WATONGA - (OK),,,,,
CITY OF WAUCHULA - (FL),,,,,
CITY OF WAYNE,,,,,
CITY OF WAYNESVILLE - (MO),,,,,
CITY OF WAYNETOWN - (IN),,,,,
CITY OF WAYNOKA - (OK),,,,,
CITY OF WEBSTER CITY - (IA),,,,,
CITY OF WEIMAR - (TX),,,,,
CITY OF WEISER - (ID),,,,,
CITY OF WELLINGTON - (KS),,,,,
CITY OF WELLS - (MN),,,,,
CITY OF WESSINGTON SPRINGS,,,,,
CITY OF WEST BEND,,,,,
CITY OF WEST LIBERTY - (IA),,,,,
CITY OF WEST MEMPHIS - (AR),,,,,
CITY OF WEST PLAINS - (MO),,,,,
CITY OF WEST POINT - (GA),,,,,
CITY OF WEST POINT - (MS),,,,,
CITY OF WEST POINT - (NE),,,,,
CITY OF WESTBROOK,,,,,
CITY OF WESTBY,,,,,
CITY OF WESTERVILLE - (OH),,,,,
CITY OF WESTFIELD - (MA),,,,,
CITY OF WESTMINSTER - (SC),,,,,
CITY OF WETUMKA - (OK),,,,,
CITY OF WHALAN - (MN),,,,,
CITY OF WHIGHAM - (GA),,,,,
CITY OF WHITE - (SD),,,,,
CITY OF WHITE MOUNTAIN - (AK),,,,,
CITY OF WHITESBORO - (TX),,,,,
CITY OF WHITTEMORE - (IA),,,,,
CITY OF WILBER,,,,,
CITY OF WILLIAMS - AZ,,,,,
CITY OF WILLIAMSPORT - (IN),,,,,
CITY OF WILLISTON - (FL),,,,,
CITY OF WILLOW SPRINGS - (MO),,,,,
CITY OF WILSON,,,,,
CITY OF WILTON,,,,,
CITY OF WINCHESTER - (TN),,,,,
CITY OF WINDOM,,,,,
CITY OF WINFIELD - (KS),,,,,
CITY OF WINNFIELD - (LA),,,,,
CITY OF WINONA - (MO),,,,,
CITY OF WINTER PARK - (FL),,,,,
CITY OF WINTERSET - (IA),,,,,
CITY OF WINTERVILLE - (NC),,,,,
CITY OF WINTHROP - (MN),,,,,
CITY OF WISNER,,,,,
CITY OF WOOD RIVER- (NE),,,,,
CITY OF WOODBINE - (IA),,,,,
CITY OF WOODSFIELD - (OH),,,,,
CITY OF WOOLSTOCK - (IA),,,,,
CITY OF WORTHINGTON - (MN),,,,,
CITY OF WRANGELL - (AK),,,,,
CITY OF WRAY,,,,,
CITY OF WYMORE - (NE),,,,,
CITY OF WYNNEWOOD - (OK),,,,,
CITY OF YALE - (OK),,,,,
CITY OF YOAKUM - (TX),,,,,
CITY OF YUMA - (CO),,,,,
CITY OF ZEELAND - (MI),,,,,
CITY UTILITIES OF SPRINGFIELD - (MO),,,,,
CITY WATER AND LIGHT PLANT,,,,,
CKENERGY ELECTRIC COOPERATIVE,,,,,
"CLAIBORNE ELECTRIC COOP, INC",,,,,
CLARK COUNTY RURAL E M C - (IN),,,,,
CLARK ELECTRIC COOP - (WI),,,,,
CLARK ENERGY COOP INC - (KY),,,,,
CLARKE ELECTRIC COOP INC - (IA),,,,,
CLARKE-WASHINGTON E M C,,,,,
CLARKSDALE PUBLIC UTILITIES,,,,,
CLARKSVILLE CONNECTED UTILITIES,,,,,
CLATSKANIE PEOPLES UTIL DIST,,,,,
CLAVERACK RURAL ELEC COOP INC,,,,,
CLAY COUNTY ELECTRIC COOP CORP,,,,,
CLAY ELECTRIC COOP INC,,,,,
"CLAY ELECTRIC COOPERATIVE, INC",,,,,
CLAY-UNION ELECTRIC CORP,,,,,
CLEARWATER POWER COMPANY,,,,,
CLEARWATER-POLK ELEC COOP INC,,,,,
CLECO POWER LLC,,,,,
CLEVELAND ELECTRIC ILLUM CO,,,,,
CLINTON COMBINED UTILITY SYS,,,,,
"CLINTON COUNTY ELEC COOP, INC",,,,,
CLOVERLAND ELECTRIC CO-OP,,,,,
CLYDE LIGHT & POWER,,,,,
CMS ELECTRIC COOP INC,,,,,
COAHOMA ELECTRIC POWER ASSN,,,,,
COAST ELECTRIC POWER ASSN,,,,,
"COASTAL ELECTRIC COOP, INC",,,,,
COASTAL ELECTRIC MEMBER CORP,,,,,
COBB ELECTRIC MEMBERSHIP CORP,,,,,
"CODINGTON-CLARK ELEC COOP, INC",,,,,
COLDWATER BOARD OF PUBLIC UTIL,,,,,
"COLEMAN COUNTY ELEC COOP, INC",,,,,
COLES-MOULTRIE ELECTRIC COOP,,,,,
COLORADO RIVER COMM OF NEVADA,,,,,
COLORADO RIVER INDIAN IRR PROJ,,,,,
COLQUITT ELECTRIC MEMBERSHIP CORP,,,,,
"COLUMBIA BASIN ELEC COOPERATIVE, INC",,,,,
COLUMBIA POWER COOP ASSN INC,,,,,
COLUMBIA POWER SYSTEM,,,,,
COLUMBIA RIVER PEOPLES UT DIST,,,,,
"COLUMBIA RURAL ELEC ASSN, INC",,,,,
"COLUMBUS ELECTRIC COOP, INC",,,,,
COMANCHE COUNTY ELEC COOP ASSN,,,,,
COMMONWEALTH EDISON CO,,,,,
COMMONWEALTH UTILITY CORPORATION,,,,,
COMMUNITY ELECTRIC COOP,,,,,
CO-MO ELECTRIC COOP INC,,,,,
CONCHO VALLEY ELEC COOP INC,,,,,
"CONCORDIA ELECTRIC COOP, INC",,,,,
CONNECTICUT LIGHT & POWER CO,,,,,
CONNEXUS ENERGY,,,,,
CONSOLIDATED COOPERATIVE,,,,,
CONSOLIDATED EDISON CO-NY INC,,,,,
CONSOLIDATED ELECTRIC COOP,,,,,
CONSOLIDATED WATER POWER CO,,,,,
CONSUMERS ENERGY,,,,,
CONSUMERS ENERGY CO,,,,,
"CONSUMERS POWER, INC",,,,,
CONTINENTAL DIVIDE EL COOP INC,,,,,
CONWAY CORPORATION,,,,,
COOKE COUNTY ELEC COOP ASSN,,,,,
"COOKSON HILLS ELEC COOP, INC",,,,,
COOPERATIVE L&P ASSN LAKE COUNTY,,,,,
COOSA VALLEY ELECTRIC COOP INC,,,,,
"COOS-CURRY ELECTRIC COOP, INC",,,,,
COPAN PUBLIC WORKS AUTHORITY,,,,,
"COPPER VALLEY ELEC ASSN, INC",,,,,
CORBIN CITY UTILITIES COMM,,,,,
"CORDOVA ELECTRIC COOP, INC",,,,,
CORE ELECTRIC COOPERATIVE,,,,,
CORN BELT ENERGY CORPORATION,,,,,
CORNHUSKER PUBLIC POWER DIST,,,,,
"COTTON ELECTRIC COOP, INC",,,,,
"COVINGTON ELECTRIC COOP, INC",,,,,
COWETA-FAYETTE EL MEMBER CORP,,,,,
COZAD BOARD OF PUBLIC WORKS,,,,,
CRAIG-BOTETOURT ELECTRIC COOP,,,,,
CRAIGHEAD ELECTRIC COOP CORP,,,,,
"CRAWFORD ELECTRIC COOP, INC",,,,,
"CRAWFORDSVILLE ELEC, LGT & PWR",,,,,
CRISP COUNTY POWER COMM,,,,,
CROW WING COOPERATIVE POWER & LIGHT COMP,,,,,
CUIVRE RIVER ELECTRIC COOP INC,,,,,
"CULLMAN ELECTRIC COOP, INC",,,,,
CULLMAN POWER BOARD,,,,,
CUMBERLAND ELEC MEMBER CORP,,,,,
"CUMBERLAND VALLEY ELECTRIC, INC.",,,,,
CUMING COUNTY PUBLIC PWR DIST,,,,,
CUSTER PUBLIC POWER DISTRICT,,,,,
DAHLBERG LIGHT & POWER CO,,,,,
DAKOTA ELECTRIC ASSOCIATION,,,,,
DAKOTA ENERGY COOP INC,,,,,
DAKOTA VALLEY ELEC COOP INC,,,,,
DALTON UTILITIES,,,,,
"DARKE RURAL ELECTRIC COOP, INC",,,,,
DARLINGTON LIGHT & POWER CO,,,,,
DAVIESS MARTIN COUNTY R E M C,,,,,
DAWSON POWER DISTRICT,,,,,
DAYTON POWER & LIGHT CO,,,,,
"DEAF SMITH ELECTRIC COOP, INC",,,,,
DECATUR COUNTY RURAL E M C,,,,,
DECATUR UTILITIES,,,,,
DEEP EAST TEXAS ELEC COOP INC,,,,,
DELANO MUNICIPAL UTILITIES,,,,,
DELAWARE COUNTY ELEC COOP INC,,,,,
DELAWARE ELECTRIC COOPERATIVE,,,,,
DELMARVA POWER,,,,,
DELTA ELECTRIC POWER ASSN,,,,,
DELTA MONTROSE ELECTRIC ASSN,,,,,
"DENTON COUNTY ELEC COOP, INC",,,,,
DESERET GENERATION & TRAN COOP,,,,,
DIVERSE POWER INCORPORATED,,,,,
DIXIE ELECTRIC COOP,,,,,
DIXIE ELECTRIC MEMBERSHIP CORP,,,,,
DIXIE ELECTRIC POWER ASSN,,,,,
"DIXIE ESCALANTE R E A, INC",,,,,
"DOMINION ENERGY SOUTH CAROLINA, INC",,,,,
"DONIPHAN ELEC COOP ASSN, INC",,,,,
DOUGLAS ELECTRIC COOP - (OR),,,,,
"DOUGLAS ELECTRIC COOP, INC",,,,,
"DS&O ELECTRIC COOPERATIVE, INC.",,,,,
DTE ELECTRIC COMPANY,,,,,
DUBLIN MUNICIPAL ELECTRIC UTIL,,,,,
DUBOIS RURAL ELECTRIC COOP INC,,,,,
DUCK RIVER ELEC MEMBER CORP,,,,,
"DUKE ENERGY CAROLINAS, LLC",,,,,
"DUKE ENERGY FLORIDA, LLC",,,,,
"DUKE ENERGY INDIANA, LLC",,,,,
DUKE ENERGY KENTUCKY,,,,,
DUKE ENERGY OHIO INC,,,,,
DUKE ENERGY PROGRESS - (NC),,,,,
"DUNCAN VALLEY ELEC COOP, INC",,,,,
DUNN COUNTY ELECTRIC COOP,,,,,
DUQUESNE LIGHT CO,,,,,
EASLEY COMBINED UTILITY SYSTEM,,,,,
EAST CENTRAL ENERGY,,,,,
EAST CENTRAL OKLAHOMA ELEC COOP INC,,,,,
EAST END MUTUAL ELEC CO LTD,,,,,
"EAST KENTUCKY POWER COOP, INC",,,,,
EAST MISSISSIPPI ELEC PWR ASSN,,,,,
EAST-CENTRAL IOWA RURAL ELEC COOP,,,,,
EASTERN ILLINOIS ELEC COOP,,,,,
EASTERN IOWA LIGHT & POWER COOP,,,,,
EASTERN MAINE ELECTRIC COOP,,,,,
EASTON UTILITIES COMM,,,,,
EAU CLAIRE ELECTRIC COOP,,,,,
EDGECOMBE-MARTIN COUNTY E M C,,,,,
EDINBURGH MUNICIPAL UTILITIES,,,,,
"EDISTO ELECTRIC COOP, INC",,,,,
EGYPTIAN ELECTRIC COOP ASSN,,,,,
EL PASO ELECTRIC CO,,,,,
ELDRIDGE CITY UTILITIES,,,,,
ELECTRICAL DIST NO2 PINAL COUNTY,,,,,
ELECTRICAL DIST NO3 PINAL COUNTY,,,,,
ELECTRICAL DIST NO4 PINAL COUNTY,,,,,
ELECTRICAL DIST NO8 MARICOPA,,,,,
ELKHORN RURAL PUBLIC PWR DIST,,,,,
ELMHURST MUTUAL POWER & LIGHT CO,,,,,
EMERALD PEOPLE'S UTILITY DIST,,,,,
EMPIRE DISTRICT ELECTRIC CO,,,,,
"EMPIRE ELECTRIC ASSN, INC",,,,,
ENERGYUNITED ELEC MEMBER CORP,,,,,
ENERSTAR POWER CORP,,,,,
ENMAX POWER CORPORATION,,,,,
ENTERGY ARKANSAS LLC,,,,,
ENTERGY LOUISIANA LLC,,,,,
ENTERGY MISSISSIPPI LLC,,,,,
"ENTERGY NEW ORLEANS, LLC",,,,,
ENTERGY TEXAS INC.,,,,,
EPCOR UTILITIES,,,,,
"ESCAMBIA RIVER ELEC COOP, INC",,,,,
"EVERGY KANSAS CENTRAL, INC",,,,,
"EVERGY KANSAS SOUTH, INC",,,,,
EVERGY METRO,,,,,
EVERGY MISSOURI WEST,,,,,
EXCELSIOR ELECTRIC MEMBER CORP,,,,,
"FAIRFIELD ELECTRIC COOP, INC",,,,,
FAIRMONT PUBLIC UTILITIES COMM,,,,,
FAIRVIEW CITY CORPORATION,,,,,
FALL RIVER RURAL ELEC COOP INC,,,,,
FANNIN COUNTY ELECTRIC COOP,,,,,
"FARMERS ELECTRIC COMPANY, LTD - (ID)",,,,,
FARMERS ELECTRIC COOP - (IA),,,,,
FARMERS ELECTRIC COOP CORP - (AR),,,,,
"FARMERS ELECTRIC COOP, INC - (IA)",,,,,
"FARMERS ELECTRIC COOP, INC - (MO)",,,,,
"FARMERS ELECTRIC COOP, INC - (NM)",,,,,
"FARMERS ELECTRIC COOP, INC - (TX)",,,,,
FARMERS RURAL ELECTRIC COOP CORP - (KY),,,,,
FARMINGTON RIVER POWER COMPANY,,,,,
"FAYETTE ELECTRIC COOP, INC",,,,,
FAYETTEVILLE PUBLIC WORKS COMMISSION,,,,,
FEDERATED RURAL ELECTRIC ASSN,,,,,
"FEM ELECTRIC ASSN, INC",,,,,
"FERGUS ELECTRIC COOP, INC",,,,,
FILLMORE CITY CORPORATION,,,,,
"FIRELANDS ELECTRIC COOP, INC",,,,,
FIRST ELECTRIC COOP CORP,,,,,
FISHERS ISLAND UTILITY CO INC,,,,,
FITCHBURG GAS & ELEC LIGHT CO,,,,,
FITZGERALD WTR LGT & BOND COMM,,,,,
FLATHEAD ELECTRIC COOP INC,,,,,
FLEMING-MASON ENERGY COOP INC,,,,,
FLINT ELECTRIC MEMBERSHIP CORP,,,,,
"FLINT HILLS RURAL E C A, INC",,,,,
FLORA UTILITIES,,,,,
FLORENCE UTILITY COMM,,,,,
"FLORIDA KEYS EL COOP ASSN, INC",,,,,
FLORIDA POWER & LIGHT CO,,,,,
FLORIDA PUBLIC UTILITIES CO,,,,,
FOLEY BOARD OF UTILITIES,,,,,
"FORKED DEER ELECTRIC COOP, INC",,,,,
FORT BELKNAP ELECTRIC COOP INC,,,,,
FORT LOUDOUN ELECTRIC COOP,,,,,
FORT PAYNE IMPROVEMENT AUTHORITY,,,,,
FORT PIERCE UTILITIES AUTHORITY,,,,,
FORT VALLEY UTILITY COMM,,,,,
FORTISALBERTA,,,,,
FORTISBC,,,,,
FOUR COUNTY ELEC MEMBER CORP,,,,,
"FOX ISLANDS ELECTRIC COOP, INC",,,,,
FRANKLIN ELECTRIC COOP - (AL),,,,,
FRANKLIN RURAL ELECTRIC COOP - (IA),,,,,
FREEBORN MOWER ELECTRIC COOPERATIVE,,,,,
FREESTATE ELECTRIC COOP,,,,,
FRENCH BROAD ELEC MEMBER CORP,,,,,
FRONTIER POWER COMPANY,,,,,
FULTON COUNTY RURAL E M C,,,,,
"G & K, INC",,,,,
GAINESVILLE REGIONAL UTILITIES,,,,,
GALENA ELECTRIC UTILITY,,,,,
"GARKANE ENERGY COOP, INC",,,,,
GARLAND LIGHT & POWER COMPANY,,,,,
GASCOSAGE ELECTRIC COOP,,,,,
GEORGIA POWER CO,,,,,
GIBSON ELECTRIC MEMBERS CORP,,,,,
GILA RIVER INDIAN UTILITY AUTHORITY (GRICUA),,,,,
"GLACIER ELECTRIC COOP, INC",,,,,
"GLADES ELECTRIC COOP, INC",,,,,
GLENCOE LIGHT & POWER COMM,,,,,
GOLD COUNTRY ENERGY,,,,,
GOLDEN VALLEY ELEC ASSN INC,,,,,
"GOLDENWEST ELECTRIC COOP, INC",,,,,
GOLTRY PUBLIC WORKS AUTHORITY,,,,,
GOODHUE COUNTY COOP ELEC ASSN,,,,,
GOWRIE MUNICIPAL UTILITIES,,,,,
GRADY ELECTRIC MEMBERSHIP CORP,,,,,
GRAFTON ELECTRIC - (IA),,,,,
GRAHAM COUNTY ELECTRIC COOP INC,,,,,
"GRAND ELECTRIC COOP, INC",,,,,
GRAND RAPIDS PUBLIC UTIL COMM,,,,,
GRAND RIVER DAM AUTHORITY,,,,,
GRAND VALLEY POWER,,,,,
GRAYSON RURAL ELECTRIC COOP CORP,,,,,
"GRAYSON-COLLIN ELEC COOP, INC",,,,,
GREAT LAKES ENERGY COOP,,,,,
GREEN MOUNTAIN POWER CORP,,,,,
"GREENBELT ELECTRIC COOP, INC",,,,,
GREENVILLE UTILITIES COMM,,,,,
GREENWOOD CPW,,,,,
GREENWOOD UTILITIES COMM,,,,,
GREER COMMISSION OF PUBLIC WKS,,,,,
GREYSTONE POWER CORPORATION,,,,,
GROTON DEPT OF UTILITIES - (CT),,,,,
GRUNDY CENTER MUN LIGHT & POWER,,,,,
GRUNDY COUNTY RURAL ELEC COOP,,,,,
"GRUNDY ELECTRIC COOP, INC",,,,,
GUADALUPE VALLEY ELEC COOP INC,,,,,
GUAM POWER AUTHORITY,,,,,
GUERNSEY-MUSKINGUM EL COOP INC,,,,,
"GULF COAST ELECTRIC COOP, INC",,,,,
GUNNISON COUNTY ELEC ASSN.,,,,,
GUNTERSVILLE ELECTRIC BOARD,,,,,
GUTHRIE COUNTY RURAL E C A,,,,,
GWITCHYAA ZHEE UTILITY CO,,,,,
HABERSHAM ELECTRIC MEMBERSHIP CORP,,,,,
HAGERSTOWN LIGHT DEPARTMENT,,,,,
HALIFAX ELECTRIC MEMBER CORP,,,,,
HAMILTON COUNTY ELEC COOP ASSN,,,,,
HANCOCK-WOOD ELECTRIC COOP INC,,,,,
HARLAN MUNICIPAL UTILITIES - (IA),,,,,
HARMON ELECTRIC ASSN INC,,,,,
"HARNEY ELECTRIC COOP, INC",,,,,
HARQUAHALA VALLEY PWR DISTRICT,,,,,
HARRISON COUNTY RRL ELEC COOP,,,,,
HARRISON COUNTY RURAL E M C,,,,,
"HARRISON RURAL ELEC ASSN, INC",,,,,
HART ELECTRIC MEMBER CORP,,,,,
HARTFORD ELECTRIC,,,,,
HAVANA POWER & LIGHT COMPANY,,,,,
HAWAII ELECTRIC LIGHT CO INC,,,,,
HAWAIIAN ELECTRIC CO INC,,,,,
HAWLEY PUBLIC UTILITIES COMM,,,,,
HAYWOOD ELECTRIC MEMBER CORP,,,,,
H-D ELECTRIC COOP INC,,,,,
HEART OF TEXAS ELECTRIC COOP,,,,,
HEARTLAND POWER COOP,,,,,
HEARTLAND REMC,,,,,
"HEARTLAND RURAL ELEC COOP, INC",,,,,
HEBER LIGHT & POWER COMPANY,,,,,
HEMLOCK VALLEY UTILITIES,,,,,
HENDERSON CITY UTILITY COMM,,,,,
HENDRICKS COUNTY RURAL E M C,,,,,
