NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
BOARD OF WATER ELECTRIC & COMMUNICATIONS,,,,,
BOLIVAR ENERGY AUTHORITY,,,,,
"BON HOMME YANKTON EL ASSN, INC",,,,,
BONNEVILLE POWER ADMINISTRATION,,,,,
BOONE COUNTY RURAL EMC,,,,,
BOONE ELECTRIC COOP,,,,,
BOONE VALLEY ELECTRIC COOP,,,,,
BOROUGH OF BERLIN - (PA),,,,,
BOROUGH OF BLAKELY - (PA),,,,,
BOROUGH OF BUTLER - (NJ),,,,,
BOROUGH OF CATAWISSA,,,,,
BOROUGH OF CHAMBERSBURG,,,,,
BOROUGH OF DUNCANNON - (PA),,,,,
BOROUGH OF EAST CONEMAUGH,,,,,
BOROUGH OF ELLWOOD CITY - (PA),,,,,
BOROUGH OF EPHRATA - (PA),,,,,
BOROUGH OF GIRARD - (PA),,,,,
BOROUGH OF GOLDSBORO - (PA),,,,,
BOROUGH OF GROVE CITY - (PA),,,,,
BOROUGH OF HATFIELD- (PA),,,,,
BOROUGH OF KUTZTOWN - (PA),,,,,
BOROUGH OF LANSDALE,,,,,
BOROUGH OF LAVALLETTE - (NJ),,,,,
BOROUGH OF LEHIGHTON - (PA),,,,,
BOROUGH OF LEWISBERRY - (PA),,,,,
BOROUGH OF MADISON - (NJ),,,,,
BOROUGH OF MIDDLETOWN - (PA),,,,,
BOROUGH OF MIFFLINBURG - (PA),,,,,
BOROUGH OF MILLTOWN - (NJ),,,,,
BOROUGH OF NEW WILMINGTON - (PA),,,,,
BOROUGH OF OLYPHANT - (PA),,,,,
BOROUGH OF PARK RIDGE - (NJ),,,,,
BOROUGH OF PEMBERTON - (NJ),,,,,
BOROUGH OF PERKASIE - (PA),,,,,
BOROUGH OF PITCAIRN - (PA),,,,,
BOROUGH OF QUAKERTOWN - (PA),,,,,
BOROUGH OF ROYALTON - (PA),,,,,
BOROUGH OF SCHUYLKILL HAVEN - (PA),,,,,
BOROUGH OF SMETHPORT - (PA),,,,,
BOROUGH OF SOUTH RIVER - (NJ),,,,,
BOROUGH OF ST CLAIR - (PA),,,,,
BOROUGH OF SUMMERHILL - (PA),,,,,
BOROUGH OF TARENTUM - (PA),,,,,
BOROUGH OF WAMPUM,,,,,
BOROUGH OF WATSONTOWN - (PA),,,,,
BOROUGH OF WEATHERLY - (PA),,,,,
BOROUGH OF ZELIENOPLE - (PA),,,,,
"BOWIE-CASS ELECTRIC COOP, INC",,,,,
BOZRAH LIGHT & POWER COMPANY,,,,,
BRAINERD PUBLIC UTILITIES,,,,,
BREMEN ELECTRIC LIGHT & POWER CO,,,,,
"BRIDGER VALLEY ELEC ASSN, INC",,,,,
BRIGHAM CITY CORPORATION,,,,,
BRISTOL VIRGINIA UTILITIES,,,,,
"BROAD RIVER ELECTRIC COOP, INC",,,,,
BRODHEAD WATER & LIGHTING COMM,,,,,
BROWN COUNTY RURAL ELEC ASSN,,,,,
